Date,Open,High,Low,Close,Adj Close,Volume
2019-08-07,3.040000,3.090000,2.930000,3.090000,3.090000,18090400
2019-08-08,3.130000,3.260000,3.110000,3.170000,3.170000,20999800
2019-08-09,3.100000,3.180000,3.100000,3.130000,3.130000,10610000
2019-08-12,3.050000,3.110000,2.960000,3.050000,3.050000,14210700
2019-08-13,3.000000,3.200000,3.000000,3.150000,3.150000,18541900
2019-08-14,3.080000,3.080000,2.880000,2.900000,2.900000,28205900
2019-08-15,2.990000,2.990000,2.770000,2.820000,2.820000,15736000
2019-08-16,2.890000,3.010000,2.860000,2.950000,2.950000,15884200
2019-08-19,3.000000,3.100000,3.000000,3.000000,3.000000,13657100
2019-08-20,3.060000,3.210000,3.000000,3.160000,3.160000,16703100
2019-08-21,3.230000,3.270000,3.020000,3.050000,3.050000,21513600
2019-08-22,3.060000,3.090000,3.010000,3.020000,3.020000,12404300
2019-08-23,2.970000,3.040000,2.890000,2.920000,2.920000,13584500
2019-08-26,2.950000,2.950000,2.830000,2.900000,2.900000,14119000
2019-08-27,2.920000,3.000000,2.830000,2.910000,2.910000,20392000
2019-08-28,2.900000,2.920000,2.830000,2.840000,2.840000,10478000
2019-08-29,2.910000,2.930000,2.850000,2.850000,2.850000,12325800
2019-08-30,2.900000,2.910000,2.840000,2.860000,2.860000,8155400
2019-09-03,2.820000,2.830000,2.580000,2.600000,2.600000,26854400
2019-09-04,2.700000,2.750000,2.640000,2.750000,2.750000,15177900
2019-09-05,2.810000,3.000000,2.800000,2.950000,2.950000,23244700
2019-09-06,2.990000,3.000000,2.870000,2.980000,2.980000,14509300
2019-09-09,3.000000,3.140000,2.930000,3.140000,3.140000,17386300
2019-09-10,3.130000,3.330000,3.070000,3.320000,3.320000,20848800
2019-09-11,3.280000,3.330000,3.160000,3.270000,3.270000,13619900
2019-09-12,3.240000,3.270000,3.100000,3.190000,3.190000,10957800
2019-09-13,3.220000,3.270000,3.150000,3.210000,3.210000,8371700
2019-09-16,3.150000,3.210000,3.090000,3.120000,3.120000,12374900
2019-09-17,3.110000,3.180000,3.000000,3.180000,3.180000,12905800
2019-09-18,3.210000,3.210000,3.030000,3.080000,3.080000,12519200
2019-09-19,3.120000,3.160000,3.080000,3.100000,3.100000,8733200
2019-09-20,3.140000,3.160000,3.020000,3.040000,3.040000,11999300
2019-09-23,2.980000,2.980000,2.710000,2.720000,2.720000,40356100
2019-09-24,2.220000,2.240000,1.970000,2.170000,2.170000,122194400
2019-09-25,2.150000,2.150000,2.020000,2.050000,2.050000,38938700
2019-09-26,2.050000,2.060000,1.900000,1.960000,1.960000,50967800
2019-09-27,1.940000,2.000000,1.710000,1.750000,1.750000,59824600
2019-09-30,1.720000,1.730000,1.530000,1.560000,1.560000,58815600
2019-10-01,1.510000,1.510000,1.220000,1.320000,1.320000,88123600
2019-10-02,1.190000,1.650000,1.190000,1.590000,1.590000,98992700
2019-10-03,1.590000,1.700000,1.430000,1.640000,1.640000,58630100
2019-10-04,1.600000,1.690000,1.560000,1.620000,1.620000,25240300
2019-10-07,1.580000,1.590000,1.450000,1.550000,1.550000,26893500
2019-10-08,1.730000,1.800000,1.660000,1.700000,1.700000,47085000
2019-10-09,1.750000,1.760000,1.580000,1.640000,1.640000,35848200
2019-10-10,1.640000,1.640000,1.500000,1.530000,1.530000,33950800
2019-10-11,1.550000,1.590000,1.500000,1.560000,1.560000,25648800
2019-10-14,1.560000,1.570000,1.520000,1.530000,1.530000,12534600
2019-10-15,1.630000,1.640000,1.540000,1.550000,1.550000,25901200
2019-10-16,1.460000,1.520000,1.400000,1.460000,1.460000,40687000
2019-10-17,1.460000,1.500000,1.420000,1.460000,1.460000,18373300
2019-10-18,1.450000,1.550000,1.440000,1.520000,1.520000,21393400
2019-10-21,1.520000,1.770000,1.490000,1.690000,1.690000,40155200
2019-10-22,1.700000,1.770000,1.520000,1.580000,1.580000,38944000
2019-10-23,1.580000,1.600000,1.520000,1.530000,1.530000,12246400
2019-10-24,1.570000,1.600000,1.530000,1.540000,1.540000,21567700
2019-10-25,1.540000,1.560000,1.500000,1.510000,1.510000,20444900
2019-10-28,1.430000,1.500000,1.380000,1.480000,1.480000,32675500
2019-10-29,1.450000,1.450000,1.390000,1.390000,1.390000,22312000
2019-10-30,1.420000,1.450000,1.360000,1.430000,1.430000,20769100
2019-10-31,1.470000,1.540000,1.440000,1.450000,1.450000,22381000
2019-11-01,1.490000,1.550000,1.490000,1.520000,1.520000,17957200
2019-11-04,1.650000,1.900000,1.580000,1.710000,1.710000,61083000
2019-11-05,1.880000,2.380000,1.800000,2.340000,2.340000,183556700
2019-11-06,2.460000,2.460000,1.960000,2.030000,2.030000,113933700
2019-11-07,2.110000,2.200000,2.050000,2.070000,2.070000,39411800
2019-11-08,2.130000,2.130000,1.940000,1.980000,1.980000,38341600
2019-11-11,1.900000,1.960000,1.780000,1.860000,1.860000,34228400
2019-11-12,1.900000,2.050000,1.830000,1.940000,1.940000,27818000
2019-11-13,1.900000,1.990000,1.850000,1.900000,1.900000,24969400
2019-11-14,1.860000,1.890000,1.660000,1.750000,1.750000,46683200
2019-11-15,1.750000,1.840000,1.660000,1.800000,1.800000,32003800
2019-11-18,1.880000,1.900000,1.730000,1.800000,1.800000,25996000
